Kind,Name,File,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFileCode,CountDeclFileHeader,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Function,"d2u_putc_error",/home/cert/metrics/dos2unix/dos2unix-7.2.2/common.c,,,,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,0,9,2,5,0,0,0,4,2,0,4,5,1,0,4,2,2,2,1,0,,,,,0,,1,0,,0.00,,,,
Function,"d2u_rename",/home/cert/metrics/dos2unix/dos2unix-7.2.2/common.c,,,,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,12,0,4,1,1,0,5,3,2,1,0,1,1,0,0,1,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Function,"d2u_strncpy",/home/cert/metrics/dos2unix/dos2unix-7.2.2/common.c,,,,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,11,0,6,1,3,0,3,2,3,1,0,3,3,0,0,3,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Function,"d2u_unlink",/home/cert/metrics/dos2unix/dos2unix-7.2.2/common.c,,,,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,10,0,4,1,1,0,3,3,2,1,0,1,1,0,0,1,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Function,"get_info_options",/home/cert/metrics/dos2unix/dos2unix-7.2.2/common.c,,,,3,55,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,60,3,55,3,47,12,0,0,3,23,1,35,48,2,1,45,13,5,13,1,46,,,,,0,,2,0,,0.22,,,,
Function,"is_dos2unix",/home/cert/metrics/dos2unix/dos2unix-7.2.2/common.c,,,,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,7,0,7,1,4,0,0,0,2,2,0,2,3,0,0,3,2,2,3,1,1,,,,,0,,1,0,,0.00,,,,
Function,"localeconv",,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,0.00,,,,
Function,"main",/home/cert/metrics/dos2unix/dos2unix-7.2.2/test/wcstombs_test.c,,,,6,22,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,29,6,22,5,16,2,0,0,5,6,1,19,22,4,0,18,4,4,4,1,1,,,,,0,,2,0,,0.09,,,,
Function,"main",/home/cert/metrics/dos2unix/dos2unix-7.2.2/test/testu16.c,,,,5,11,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,19,5,11,2,8,3,0,0,5,1,0,9,9,1,0,8,1,1,1,1,0,,,,,0,,0,0,,0.27,,,,
Function,"main",/home/cert/metrics/dos2unix-7.2.2/sandbox/symlink/get_link_target.c,,,,6,35,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,42,6,35,4,23,8,0,0,5,4,1,17,20,3,0,17,4,4,4,3,3,,,,,2,,1,2,,0.23,,,,
Function,"main",/home/cert/metrics/dos2unix/dos2unix-7.2.2/test/setlocale.c,,,,7,19,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,29,7,19,4,14,6,0,0,6,1,0,17,17,3,0,14,1,1,1,1,0,,,,,0,,0,0,,0.32,,,,
Function,"main",/home/cert/metrics/dos2unix/dos2unix-7.2.2/unix2dos.c,,,,12,79,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,101,10,30,7,19,3,43,19,10,5,1,21,24,6,0,18,4,4,6,1,2,,,,,0,,1,0,,0.10,,,,
Function,"main",/home/cert/metrics/dos2unix/dos2unix-7.2.2/dos2unix.c,,,,12,79,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,101,10,30,7,19,3,43,19,10,5,1,21,24,6,0,18,4,4,6,1,2,,,,,0,,1,0,,0.10,,,,
Function,"parse_options",/home/cert/metrics/dos2unix/dos2unix-7.2.2/common.c,,,,8,295,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,310,8,216,11,179,11,56,25,36,263,2,115,171,5,0,166,57,57,78,22,85,,,,,61,,6,60,,0.05,,,,
Function,"printInfo",/home/cert/metrics/dos2unix/dos2unix-7.2.2/common.c,,,,3,64,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,67,3,64,3,55,0,0,0,4,185284,5,28,52,2,0,50,25,25,33,6,12,,,,,8,,3,8,,0.00,,,,
Function,"print_bom",/home/cert/metrics/dos2unix/dos2unix-7.2.2/common.c,,,,5,32,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,42,5,25,2,18,5,7,4,2,10,1,13,19,1,1,17,6,3,6,1,10,,,,,0,,1,0,,0.20,,,,
Function,"print_bom_info",/home/cert/metrics/dos2unix/dos2unix-7.2.2/common.c,,,,0,20,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,22,0,20,1,15,6,0,0,1,5,1,10,15,0,1,14,5,2,5,1,10,,,,,0,,1,0,,0.30,,,,
Function,"print_format",/home/cert/metrics/dos2unix/dos2unix-7.2.2/common.c,,,,4,31,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,35,2,10,1,7,0,21,6,3,4,1,5,7,0,0,7,3,3,3,1,0,,,,,0,,1,0,,0.00,,,,
Function,"print_messages",/home/cert/metrics/dos2unix/dos2unix-7.2.2/common.c,,,,3,99,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,118,3,80,3,68,12,16,7,3,22,1,34,55,2,0,53,22,22,23,1,21,,,,,0,,6,0,,0.15,,,,
Function,"print_messages_info",/home/cert/metrics/dos2unix/dos2unix-7.2.2/common.c,,,,0,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,21,0,14,1,8,0,5,2,1,5,1,4,8,0,0,8,5,5,5,1,1,,,,,0,,2,0,,0.00,,,,
Function,"print_messages_stdio",/home/cert/metrics/dos2unix/dos2unix-7.2.2/common.c,,,,0,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,22,0,13,1,9,0,6,3,1,4,1,6,9,0,0,9,4,4,4,1,2,,,,,0,,1,0,,0.00,,,,
Function,"query_con_codepage",/home/cert/metrics/dos2unix/dos2unix-7.2.2/querycp.c,,,,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,0,0,1,1,0,1,1,0,0,1,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Function,"read_bom",/home/cert/metrics/dos2unix/dos2unix-7.2.2/common.c,,,,2,67,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,76,2,67,2,49,11,0,0,5,28,1,36,60,1,0,59,25,25,34,25,57,,,,,57,,3,57,,0.16,,,,
Function,"regfile",/home/cert/metrics/dos2unix/dos2unix-7.2.2/common.c,,,,1,58,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,59,1,20,3,14,0,28,16,7,4,1,8,11,2,0,9,4,4,4,3,3,,,,,3,,2,3,,0.00,,,,
Function,"regfile_target",/home/cert/metrics/dos2unix/dos2unix-7.2.2/common.c,,,,1,29,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,30,1,19,3,12,0,4,6,7,4,1,8,11,2,0,9,4,4,4,3,3,,,,,3,,2,3,,0.00,,,,
Function,"symbolic_link",/home/cert/metrics/dos2unix/dos2unix-7.2.2/common.c,,,,1,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,12,0,4,1,1,0,6,2,1,1,0,1,1,0,0,1,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Function,"write_bom",/home/cert/metrics/dos2unix/dos2unix-7.2.2/common.c,,,,2,58,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,60,2,58,2,42,6,0,0,2,36,2,25,44,1,1,42,19,17,23,12,34,,,,,34,,3,34,,0.10,,,,
